#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbs
#def :end
"年份";"期间";"地点代码";"地点说明";"零件代码";"零件说明";"在库品数量";"重建差异数量"
2009;8;"1000";"宁波提爱思(加工区）";"4.02.05.18.01.00";"HRA12KA-STK9PM 2RS-556色HR-1牛皮裁片";2300;0
2009;8;"1000";"宁波提爱思(加工区）";"4.03.01.99.01";"81531-SWA7-A010-25-0000 WQ-TRIM  PLAIE  C  L";2524;2524
2009;8;"1000";"宁波提爱思(加工区）";"4.03.01.99.02";"82181STKAA000QA-0001 WQ-MAIN WAD";2084;2084
2009;8;"1000";"宁波提爱思(加工区）";"4.03.01.99.03";"82521STKAA000QE-0001 WQ-CTR UPP L WAD";1969;1969
2009;8;"1000";"宁波提爱思(加工区）";"4.03.01.99.04";"82531STKAA000QE-0002 WQ-CTR L WAD";1967;1967
2009;8;"1000";"宁波提爱思(加工区）";"4.03.01.99.05";"82531STKAA000QF-0001 WQ-CTR UPP L WAD裁片";1990;1990
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.01.00";"81521-SWA7-0000-NA-0001 WQ-KA327-FB/RL1皮裁片";55;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.02.00";"81521-SWA7-0000-NF-0001 WQ-KA327-FB/RL2皮裁片";78;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.03.00";"81521-SWA7-0000-NB-0001 WQ-KA327-FB/RL3皮裁片";70;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.04.00";"81521-SWA7-0000-NE-0002 WQ-KA327-FB/RL4皮裁片";68;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.05.00";"81521-SWA7-0000-NC-0003 WQ-KA327-FB/L-5皮裁片";40;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.06.00";"81521-SWA7-0000-ND-0003 WQ-KA327-FB/L-6皮裁片";29;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.07.00";"81521-SWA7-0000-PC-0001 WQ-KA327-FB/L-7皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.02.08.00";"81521-SWA7-0000-PD-0001 WQ-KA327-FB/L-8皮裁片";27;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.01.00";"81121-SWA7-0000-NA-0001 WQ-KA327-FB/RL1皮裁片";55;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.02.00";"81121-SWA7-0000-NF-0001 WQ-KA327-FB/RL2皮裁片";78;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.03.00";"81121-SWA7-0000-NB-0001 WQ-KA327-FB/RL3皮裁片";70;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.04.00";"81121-SWA7-0000-NE-0002 WQ-KA327-FB/RL4皮裁片";68;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.05.00";"81121-SWA7-0000-NC-0003 WQ-KA327-FB/R-5皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.06.00";"81121-SWA7-0000-ND-0003 WQ-KA327-FB/R-6皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.07.00";"81121-SWA7-0000-PC-0001 WQ-KA327-FB/R-7皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.03.08.00";"81121-SWA7-0000-PD-0001 WQ-KA327-FB/R-8皮裁片";26;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.01.00";"81531-SWA7-0000-NA-0001 WQ-KA327-FC/L-1皮裁片";28;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.02.00";"81531-SWA7-0000-LG-0001 WQ-KA327-FC/L-2皮裁片";78;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.03.00";"81531-SWA7-0000-LB-0001 WQ-KA327-FC/L-3皮裁片";63;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.04.00";"81531-SWA7-0000-NC-0001 WQ-KA327-FC/L-4皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.05.00";"81531-SWA7-0000-ND-0001 WQ-KA327-FC/L-5皮裁片";41;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.05.06.00";"81531-SWA7-0000-LE-0001 WQ-KA327-FC/L-6皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.01.00";"81131-SWA7-0000-LA-0001 WQ-KA327-FC/R-1皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.02.00";"81131-SWA7-0000-LG-0001 WQ-KA327-FC/RL2皮裁片";78;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.03.00";"81131-SWA7-0000-LB-0001 WQ-KA327-FC/RL3皮裁片";63;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.04.00";"81131-SWA7-A200-KC-0001 WQ-KA327-FC/R-4皮裁片";35;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.05.00";"81131-SWA7-0000-LD-0001 WQ-KA327-FC/R-5皮裁片";61;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.06.06.00";"81131-SWA7-0000-LE-0001 WQ-KA327-FC/R-6皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.08.01.00";"82521-SWA7-0000-LA-0003 WQ-KA327-RB/L-1皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.08.02.00";"82521-SWA7-0000-LE-0003 WQ-KA327-RB/L-2皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.08.03.00";"82521-SWA7-0000-LB-0003 WQ-KA327-RB/L-3皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.08.04.00";"82521-SWA7-0000-LC-0003 WQ-KA327-RB/L-4皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.08.05.00";"82521-SWA7-0000-LD-0003 WQ-KA327-RB/L-5皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.09.01.00";"82121-SWA7-0000-LA-0003 WQ-KA327-RB/R-1皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.09.02.00";"82121-SWA7-0000-LE-0003 WQ-KA327-RB/R-2皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.09.03.00";"82121-SWA7-0000-LB-0003 WQ-KA327-RB/R-3皮裁片";31;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.09.04.00";"82121-SWA7-0000-LC-0003 WQ-KA327-RB/R-4皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.09.05.00";"82121-SWA7-0000-LD-0003 WQ-KA327-RB/R-5皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.11.01.00";"82531-SWA7-0000-LA-0003 WQ-KA327-RC/L-1皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-KA327-RC/L-2皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.11.03.00";"82531-SWA7-0000-LB-0004 WQ-KA327-RC/L-3皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.11.04.00";"82531-SWA7-0000-LC-0004 WQ-KA327-RC/L-4皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.11.05.00";"82531-SWA7-0000-LE-0004 WQ-KA327-RC/L-5皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.01.00";"82131-SWA7-0000-LA-0003 WQ-KA327-RC/R-1皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.02.00";"82131-SWA7-0000-LJ-0003 WQ-KA327-RC/R-2皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.03.00";"82131-SWA7-0000-LB-0004 WQ-KA327-RC/R-3皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.04.00";"82131-SWA7-0000-LC-0003 WQ-KA327-RC/R-4皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.05.00";"82131-SWA7-0000-LD-0004 WQ-KA327-RC/R-5皮裁片";40;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.06.00";"82131-SWA7-0000-LE-0004 WQ-KA327-RC/R-6皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.12.07.00";"82131-SWA7-0000-LF-0004 WQ-KA327-RC/R-7皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.17.01.00";"82181-SWA7-0000-LA-0003 WQ-KA327-RAR部位1皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.17.02.00";"82181-SWA7-0000-LB-0002 WQ-KA327-RAR部位2皮裁片";33;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.01.21.01.00";"82171-SWA7-0000-LA-0001 WQ-KA327-CTR部位1皮裁片";43;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.01.00";"81521-SWA7-0000-NA-0001 WQ-KA642-FB/RL1皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.02.00";"81521-SWA7-0000-NF-0001 WQ-KA642-FB/RL2皮裁片";75;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.03.00";"81521-SWA7-0000-NB-0001 WQ-KA642-FB/L-3皮裁片";59;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.04.00";"81521-SWA7-0000-NE-0002 WQ-KA642-FB/RL4皮裁片";62;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.05.00";"81521-SWA7-0000-NC-0003 WQ-KA642-FB/L-5皮裁片";39;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.06.00";"81521-SWA7-0000-ND-0003 WQ-KA642-FB/L-6皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.07.00";"81521-SWA7-0000-PC-0001 WQ-KA642-FB/L-7皮裁片";29;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.02.08.00";"81521-SWA7-0000-PD-0001 WQ-KA642-FB/L-8皮裁片";29;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.01.00";"81121-SWA7-0000-NA-0001 WQ-KA642-FB/R-1皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.02.00";"81121-SWA7-0000-NF-0001 WQ-KA642-FB/R-2皮裁片";75;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.04.00";"81121-SWA7-0000-NE-0002 WQ-KA642-FB/R-4皮裁片";62;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.05.00";"81121-SWA7-0000-NC-0003 WQ-KA642-FB/R-5皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.06.00";"81121-SWA7-0000-ND-0003 WQ-KA642-FB/R-6皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.07.00";"81121-SWA7-0000-PC-0001 WQ-KA642-FB/R-7皮裁片";26;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.03.08.00";"81121-SWA7-0000-PD-0001 WQ-KA642-FB/R-8皮裁片";25;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.01.00";"81531-SWA7-0000-NA-0001 WQ-KA642-FC/L-1皮裁片";33;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.02.00";"81531-SWA7-0000-LG-0001 WQ-KA642-FC/L-2皮裁片";73;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.03.00";"81531-SWA7-0000-LB-0001 WQ-KA642-FC/L-3皮裁片";70;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.04.00";"81531-SWA7-0000-NC-0001 WQ-KA642-FC/L-4皮裁片";33;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.05.00";"81531-SWA7-0000-ND-0001 WQ-KA642-FC/L-5皮裁片";33;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.05.06.00";"81531-SWA7-0000-LE-0001 WQ-KA642-FC/L-6皮裁片";2;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.01.00";"81131-SWA7-0000-LA-0001 WQ-KA642-FC/R-1皮裁片";20;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.02.00";"81131-SWA7-0000-LG-0001 WQ-KA642-FC/RL2皮裁片";73;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.03.00";"81131-SWA7-0000-LB-0001 WQ-KA642-FC/RL3皮裁片";70;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.04.00";"81131-SWA7-A200-KC-0001 WQ-KA642-FC/R-4皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.05.00";"81131-SWA7-0000-LD-0001 WQ-KA642-FC/R-5皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.06.06.00";"81131-SWA7-0000-LE-0001 WQ-KA642-FC/R-6皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.08.01.00";"82521-SWA7-0000-LA-0003 WQ-KA642-RB/L-1皮裁片";26;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.08.02.00";"82521-SWA7-0000-LE-0003 WQ-KA642-RB/L-2皮裁片";42;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.08.03.00";"82521-SWA7-0000-LB-0003 WQ-KA642-RB/L-3皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.08.04.00";"82521-SWA7-0000-LC-0003 WQ-KA642-RB/L-4皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.08.05.00";"82521-SWA7-0000-LD-0003 WQ-KA642-RB/L-5皮裁片";32;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.09.01.00";"82121-SWA7-0000-LA-0003 WQ-KA642-RB/R-1皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.09.02.00";"82121-SWA7-0000-LE-0003 WQ-KA642-RB/R-2皮裁片";27;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.09.03.00";"82121-SWA7-0000-LB-0003 WQ-KA642-RB/R-3皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.09.04.00";"82121-SWA7-0000-LC-0003 WQ-KA642-RB/R-4皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.09.05.00";"82121-SWA7-0000-LD-0003 WQ-KA642-RB/R-5皮裁片";30;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.11.01.00";"82531-SWA7-0000-LA-0003 WQ-KA642-RC/L-1皮裁片";20;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-KA642-RC/L-2皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.11.03.00";"82531-SWA7-0000-LB-0004 WQ-KA642-RC/L-3皮裁片";34;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.11.04.00";"82531-SWA7-0000-LC-0004 WQ-KA642-RC/L-4皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.11.05.00";"82531-SWA7-0000-LE-0004 WQ-KA642-RC/L-5皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.01.00";"82131-SWA7-0000-LA-0003 WQ-KA642-RC/R-1皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.02.00";"82131-SWA7-0000-LJ-0003 WQ-KA642-RC/R-2皮裁片";40;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.03.00";"82131-SWA7-0000-LB-0004 WQ-KA642-RC/R-3皮裁片";37;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.04.00";"82131-SWA7-0000-LC-0003 WQ-KA642-RC/R-4皮裁片";36;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.05.00";"82131-SWA7-0000-LD-0004 WQ-KA642-RC/R-5皮裁片";38;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.06.00";"82131-SWA7-0000-LE-0004 WQ-KA642-RC/R-6皮裁片";29;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.12.07.00";"82131-SWA7-0000-LF-0004 WQ-KA642-RC/R-7皮裁片";31;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.17.02.00";"82181-SWA7-0000-LB-0002 WQ-KA642-RAR部位2皮裁片";28;0
2009;8;"1000";"宁波提爱思(加工区）";"4.04.02.21.01.00";"82171-SWA7-0000-LA-0001 WQ-KA642-CTR部位1皮裁片";18;0
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.08.01.00";"82521-SWA7-0000-LA-0003 WQ-UK-327-RB/L-1皮裁片";46;46
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.08.02.00";"82521-SWA7-0000-LE-0003 WQ-UK-327-RB/L-2皮裁片";46;46
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.08.03.00";"82521-SWA7-0000-LB-0003 WQ-UK-327-RB/L-3皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.08.04.00";"82521-SWA7-0000-LC-0003 WQ-UK-327-RB/L-4皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.08.05.00";"82521-SWA7-0000-LD-0003 WQ-UK-327-RB/L-5皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.09.03.00";"82121-SWA7-0000-LB-0003 WQ-UK-327-RB/R-3皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.09.04.00";"82121-SWA7-0000-LC-0003 WQ-UK-327-RB/R-4皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.09.05.00";"82121-SWA7-0000-LD-0003 WQ-UK-327-RB/R-5皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.11.01.00";"82531-SWA7-0000-LA-0003 WQ-UK-327-RC/L-1皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-UK-327-RC/L-2皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.11.03.00";"82531-SWA7-0000-LB-0004 WQ-UK-327-RC/L-3皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.11.04.00";"82531-SWA7-0000-LC-0004 WQ-UK-327-RC/L-4皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.11.05.00";"82531-SWA7-0000-LE-0004 WQ-UK-327-RC/L-5皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.01.00";"82131-SWA7-0000-LA-0003 WQ-UK-327-RC/R-1皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.02.00";"82131-SWA7-0000-LJ-0003 WQ-UK-327-RC/R-2皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.03.00";"82131-SWA7-0000-LB-0004 WQ-UK-327-RC/R-3皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.04.00";"82131-SWA7-0000-LC-0003 WQ-UK-327-RC/R-4皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.05.00";"82131-SWA7-0000-LD-0004 WQ-UK-327-RC/R-5皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.06.00";"82131-SWA7-0000-LE-0004 WQ-UK-327-RC/R-6皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.12.07.00";"82131-SWA7-0000-LF-0004 WQ-UK-327-RC/R-7皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.17.01.00";"82181-SWA7-0000-LA-0003 WQ-UK-327-RAR-1皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.17.02.00";"82181-SWA7-0000-LB-0002 WQ-UK-327-RAR-2皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.01.21.01.00";"82171-SWA7-0000-LA-0001 WQ-UK-327-CTR-1皮裁片";23;23
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.01.00";"81521-SWA7-0000-NA-0001 WQ-UK-642-FB/L-1皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.02.00";"81521-SWA7-0000-NF-0001 WQ-UK-642-FB/L-2皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.03.00";"81521-SWA7-0000-NB-0001 WQ-UK-642-FB/L-3皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.04.00";"81521-SWA7-0000-NE-0002 WQ-UK-642-FB/L-4皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.05.00";"81521-SWA7-0000-PC-0001 WQ-UK-642-FB/L-7皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.06.00";"81521-SWA7-0000-ND-0003 WQ-UK-642-FB/L-6皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.07.00";"81521-SWA7-0000-NC-0003 WQ-UK-642-FB/L-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.02.08.00";"81521-SWA7-0000-PD-0001 WQ-UK-642-FB/L-8皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.03.05.00";"81121-SWA7-0000-NC-0003 WQ-UK-642-FB/R-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.03.06.00";"81121-SWA7-0000-ND-0003 WQ-UK-642-FB/R-6皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.03.07.00";"81121-SWA7-0000-PC-0001 WQ-UK-642-FB/R-7皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.03.08.00";"81121-SWA7-0000-PD-0001 WQ-UK-642-FB/R-8皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.08.01.00";"82521-SWA7-0000-LA-0003 WQ-UK-642-RB/L-1皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.08.02.00";"82521-SWA7-0000-LE-0003 WQ-UK-642-RB/L-2皮裁片";962;962
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.08.03.00";"82521-SWA7-0000-LB-0003 WQ-UK-642-RB/L-3皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.08.04.00";"82521-SWA7-0000-LC-0003 WQ-UK-642-RB/L-4皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.08.05.00";"82521-SWA7-0000-LD-0003 WQ-UK-642-RB/L-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.09.03.00";"82121-SWA7-0000-LB-0003 WQ-UK-642-RB/R-3皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.09.04.00";"82121-SWA7-0000-LC-0003 WQ-UK-642-RB/R-4皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.09.05.00";"82121-SWA7-0000-LD-0003 WQ-UK-642-RB/R-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.11.01.00";"82531-SWA7-0000-LA-0003 WQ-UK-642-RC/L-1皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.11.02.00";"82531-SWA7-0000-LJ-0003 WQ-UK-642-RC/L-2皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.11.03.00";"82531-SWA7-0000-LB-0004 WQ-UK-642-RC/L-3皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.11.04.00";"82531-SWA7-0000-LC-0004 WQ-UK-642-RC/L-4皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.11.05.00";"82531-SWA7-0000-LE-0004 WQ-UK-642-RC/L-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.01.00";"82131-SWA7-0000-LA-0003 WQ-UK-642-RC/R-1皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.02.00";"82131-SWA7-0000-LJ-0003 WQ-UK-642-RC/R-2皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.03.00";"82131-SWA7-0000-LB-0004 WQ-UK-642-RC/R-3皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.04.00";"82131-SWA7-0000-LC-0003 WQ-UK-642-RC/R-4皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.05.00";"82131-SWA7-0000-LD-0004 WQ-UK-642-RC/R-5皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.06.00";"82131-SWA7-0000-LE-0004 WQ-UK-642-RC/R-6皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.12.07.00";"82131-SWA7-0000-LF-0004 WQ-UK-642-RC/R-7皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.05.02.21.01.00";"82171-SWA7-0000-LA-0001 WQ-UK-642-CTR-1皮裁片";481;481
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.03.01.00";"81121SWA70000NA-0001 WQ-KJ-642-FB/R-1-皮裁片";2;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.03.02.00";"81121SWA70000NF-0001 WQ-KJ-642-FB/R-2-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.08.01.00";"82521SWA70000LA-0003 WQ-KJ-642-RB/L-1-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.08.02.00";"82521SWA70000LE-0003 WQ-KJ-642-RB/L-2-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.08.03.00";"82521SWA70000LC-0003 WQ-KJ-642-RB/L-3-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.08.04.00";"82521SWA70000LD-0003 WQ-KJ-642-RB/L-4-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.08.05.00";"82521SWA70000LB-0003 WQ-KJ-642-RB/L-5-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.09.03.00";"82121SWA70000LC-0003 WQ-KJ-642-RB/R-3-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.09.04.00";"82121SWA70000LD-0003 WQ-KJ-642-RB/R-4-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.11.02.00";"82531SWA70000LJ-0003 WQ-KJ-642-RC/L-2-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.11.03.00";"82531SWA70000LB-0004 WQ-KJ-642-RC/L-3-皮裁片";1;0
2009;8;"1000";"宁波提爱思(加工区）";"4.06.02.11.04.00";"82531SWA70000LC-0004 WQ-KJ-642-RC/L-4-皮裁片";1;0
